Rank;Journal;Value
1;Progress in Energy and Combustion Science;117
2;Chemical Reviews;112
3;Cellular & Molecular Immunology;96
4;Reviews of Modern Physics;95
5;Progress in Materials Science;88
6;Electrochemical Energy Reviews;82
7;Chemical Society Reviews;78
8;IEEE Communications Surveys and Tutorials;74
9;Fungal Diversity;73
-;Nano-Micro Letters;73
11;Annual Review of Pathology-Mechanisms of Disease;71
-;Advances in Optics and Photonics;71
-;Physiological Reviews;71
14;Experimental and Molecular Medicine;70
15;Cell;68
16;Biochar;63
17;Annual Review of Fluid Mechanics;62
18;Annual Review of Immunology;59
-;Nature Catalysis;59
20;Progress in Polymer Science;58
21;Annual Review Plant Biology;57
-;Cell Metabolism;57
23;Joule;56
24;Energy & Environmental Science;55
-;Annual Review of Biochemistry;55
-;Annual Review of Psychology;55
27;Journal of Hematology & Oncology;54
-;Cancer Cell;54
-;Nature Reviews Materials;54
30;Nature Nanotechnology;53
-;Applied Catalysis B-Environmental;53
-;Coordination Chemistry Reviews;53
-;Annual Review of Condensed Matter Physics;53
34;Nature Energy;52
35;Cell Research;51
36;Nature Reviews Molecular Cell Biology;50
-;Artificial Intelligence Review;50
38;Environmental Chemistry Letters;48
-;Nature Reviews Disease Primers;48
-;Cellular & Molecular Biology Letters;48
-;Annual Review of Physiology;48
42;Advanced Drug Delivery Reviews;47
43;Endocrine Reviews;46
-;Nature Photonics;46
-;Annual Review of Organizational Psychology and Organizational Behavior;46
-;Molecular Cancer;46
-;Immunity;46
48;Signal Transduction and Targeted Therapy;45
-;Cell Stem Cell;45
-;Seminars in Cancer Biology;45
51;Renewable & Sustainable Energy Reviews;44
-;International Journal of Oral Science;44
53;Annual Review of Neuroscience;43
-;Reviews of Geophysics;43
-;Advanced Fiber Materials;43
-;Progress in Lipid Research;43
-;Annual Review of Medicine;43
-;Nature Materials;43
-;Nano Energy;43
60;Annual Review of Public Health;42
-;Clinical Microbiology Reviews;42
-;Nature Medicine;42
-;Human Reproduction Update;42
-;Advances in Colloid and Interface Science;42
65;Progress in Particle and Nuclear Physics;41
-;Advanced Materials;41
-;Opto-Electronic Advances;41
68;International Journal of Information Management;40
-;Advanced Energy Materials;40
-;Journal of Materials Science & Technology;40
-;Science Immunology;40
72;Progress in Retinal and Eye Research;39
-;Annual Review of Pharmacology and Toxicology;39
-;Academy of Management Annals;39
-;Quarterly Journal of Economics;39
-;Nature Genetics;39
77;ACM Computing Surveys;38
78;Annual Review of Entomology;37
-;Accounts of Chemical Research;37
-;Nature Machine Intelligence;37
-;MMWR-Morbidity and Mortality Weekly Report;37
-;Technological Forecasting and Social Change;37
-;Journal of Financial Economics;37
-;ACS Energy Letters;37
85;Periodontology 2000;36
-;Nature Chemistry;36
-;Nature Reviews Chemistry;36
-;Journal of Retailing and Consumer Services;36
-;Journal of Nanostructure in Chemistry;36
-;Science Robotics;36
-;Trends in Food Science & Technology;36
-;Light-Science & Applications;36
-;Nature Neuroscience;36
-;Science Translational Medicine;36
-;International Journal of Educational Technology in Higher Education;36
-;Journal of Energy Chemistry;36
-;Advanced Composites and Hybrid Materials;36
98;Energy Storage Materials;35
-;Neuron;35
-;Nature Sustainability;35
-;Trends in Environmental Analytical Chemistry;35
102;Biotechnology Advances;34
-;Translational Neurodegeneration;34
-;Molecular Cell;34
-;Annual Review of Economics;34
-;npj Flexible Electronics;34
-;International Journal of Machine Tools & Manufacture;34
-;Annual Review of Biophysics;34
-;Annual Review of Marine Science;34
-;Progress in Aerospace Sciences;34
-;Carbon Energy;34
112;Reviews in Environmental Science and Bio-Technology;33
-;Biomaterials;33
-;IEEE Reviews in Biomedical Engineering;33
-;Cell Host & Microbe;33
-;Cement & Concrete Composites;33
-;International Journal of Mining Science and Technology;33
118;Tourism Management;32
-;Annual Review of Food Science and Technology;32
-;Cement and Concrete Research;32
-;Nature Microbiology;32
-;Lancet Digital Health;32
-;Nature Electronics;32
-;Nature Metabolism;32
-;Molecular Neurodegeneration;32
-;Nature Communications;32
-;International Materials Reviews;32
-;Drug Resistance Updates;32
129;Journal of Advanced Ceramics;31
-;International Journal of Plasticity;31
-;EMBO Journal;31
-;IEEE Transactions on Cybernetics;31
-;Nature Biomedical Engineering;31
-;Annual Review of Phytopathology;31
-;Composites Part B-Engineering;31
-;Ageing Research Reviews;31
-;Chem;31
-;Pharmacology & Therapeutics;31
-;Robotics and Computer-Integrated Manufacturing;31
-;Microbiome;31
-;Food Hydrocolloids;31
-;Journal of the American Chemical Society;31
-;American Economic Review;31
144;Critical Reviews in Environmental Science and Technology;30
-;Nature Reviews Microbiology;30
-;Journal of Photochemistry and Photobiology C-Photochemistry Reviews;30
-;Materials Today;30
-;NPG Asia Materials;30
-;Carbohydrate Polymers;30
-;Nano Convergence;30
-;ACS Nano;30
152;Molecular Plant;29
-;Annual Review of Clinical Psychology;29
-;Sustainable Cities and Society;29
-;Acta Neuropathologica;29
-;InfoMat;29
-;Nature Cancer;29
-;TRAC-Trends in Analytical Chemistry;29
-;Computers & Education;29
-;Physics Reports-Review Section of Physics Letters;29
-;Journal of Manufacturing Systems;29
-;EMBO Molecular Medicine;29
-;Government Information Quarterly;29
-;Automation in Construction;29
-;Nature Cell Biology;29
-;Journal of Innovation & Knowledge;29
-;Human Resource Management Review;29
-;Energy Conversion and Management;29
169;Basic Research in Cardiology;28
-;Water Research;28
-;Annual Review of Microbiology;28
-;Applied Energy;28
-;Geroscience;28
-;International Journal of Extreme Manufacturing;28
-;Journal of Business Research;28
-;Technology in Society;28
-;Comprehensive Reviews in Food Science and Food Safety;28
-;ACS Catalysis;28
-;Information Fusion;28
-;Nature Methods;28
-;Reliability Engineering & System Safety;28
-;Remote Sensing of Environment;28
-;Applied Mechanics Reviews;28
-;Academy of Management Journal;28
-;Sports Medicine-Open;28
186;Journal of Cleaner Production;27
-;Bioresource Technology;27
-;Current Opinion in Solid State & Materials Science;27
